global unique identifier	last edited date	taxonomic order	category	taxon concept id	common name	scientific name	subspecies common name	subspecies scientific name	exotic code	observation count	breeding code	breeding category	behavior code	age/sex	country	country code	state	state code	county	county code	iba code	bcr code	usfws code	atlas block	locality	locality id	locality type	latitude	longitude	observation date	time observations started	observer id	sampling event identifier	protocol type	protocol code	project code	duration minutes	effort distance km	effort area ha	number observers	all species reported	group identifier	has media	approved	reviewed	reason	trip comments	species comments	
URN:CornellLabOfOrnithology:EBIRD:OBS1277021724	2022-10-25 02:42:41.35594	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hotel Paraíso Verde Manizales	L7350447	H	5.0898541	-75.5333555	2021-11-14	09:11:00	obsr1062889	S97569572	Traveling	P22	EBIRD	90	0.3	NA	8	1	G7427036	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1287217623	2021-12-01 11:24:25.003659	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Pasos A06	L13183030	P	4.9856625	-75.5436325	2021-11-19	08:15:00	obsr1919766	S98318712	Stationary	P21	EBIRD	6	NA	NA	2	1	G7481164	0	1	0			Macho-Alt: 5-Dis: 3	
URN:CornellLabOfOrnithology:EBIRD:OBS1275893667	2021-11-12 18:09:12.391945	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Rio Blanco Reserve--Gate Area	L4462413	P	5.066394	-75.448299	2021-11-12	15:44:00	obsr693372	S97490644	Traveling	P22	EBIRD	144	6.05	NA	10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1270453710	2022-10-11 16:23:49.331497	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Altos de Java  (5,018, -75,541)	L15818662	P	5.0180191	-75.5406188	2021-11-03	14:30:00	obsr620310	S97078337	Stationary	P21	EBIRD_COL	90	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1288554751	2021-12-03 13:52:32.264814	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	PaSos B05	L12958605	P	4.953397	-75.479793	2021-11-04	10:09:00	obsr1673374	S98410154	Traveling	P22	EBIRD	7	0.21	NA	2	1	G7406285	0	1	0			Macho	
URN:CornellLabOfOrnithology:EBIRD:OBS1276353815	2022-10-25 02:09:25.546641	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				7					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Ecoparque Los Alcázares-Arenillo	L2414386	H	5.0638426	-75.5321324	2021-11-13	05:51:00	obsr897647	S97523203	Traveling	P22	EBIRD	357	6.99	NA	11	1	G7417937	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1279386401	2021-11-18 07:26:48.747281	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	EcoLodge La Juanita, Manizales	L16916871	P	5.090007	-75.532477	2021-11-18	07:02:00	obsr161114	S97733359	Stationary	P21	EBIRD	25	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277308218	2022-10-26 06:18:26.343869	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--lower entrance road	L4281858	H	5.0696236	-75.4441236	2021-11-12	15:40:00	obsr203305	S97592255	Traveling	P22	EBIRD	141	3.364	NA	11	1	G7418295	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276342559	2022-10-26 04:32:04.389615	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Forestal Protectora Bosques de La Chec	L4510695	H	5.0186864	-75.4034498	2021-11-13	09:17:00	obsr1027847	S97521568	Traveling	P22	EBIRD	120	6.132	NA	14	1	G7415550	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1279221189	2022-10-26 04:31:14.132984	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--Lodge	L1252500	H	5.0732224	-75.4378641	2021-11-17	13:27:00	obsr621924	S97723578	Traveling	P22	EBIRD	127	1.28	NA	3	1	G7596821	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277244490	2021-11-14 16:09:32.260246	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Forestal Protectora Bosques de La Chec	L4510695	H	5.0186864	-75.4034498	2021-11-13	09:20:00	obsr2582082	S97587256	Traveling	P22	EBIRD	128	1.6	NA	14	1	G7419544	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1281690752	2021-11-21 21:49:44.224129	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Alto El Abejorro	L15375331	P	5.4200217	-75.004675	2021-11-18	08:22:00	obsr1862587	S97906993	Traveling	P22	EBIRD	172	3.03	NA	3	1	G7448488	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1276925454	2021-11-14 09:18:17.271217	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca El Placer - Casa (5,033, -75,571)	L15948305	P	5.0331423	-75.5709264	2021-11-14	06:08:00	obsr1530309	S97561893	Stationary	P21	EBIRD	164	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277658036	2021-11-15 09:20:39.17347	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hacienda Venecia	L7828681	H	5.0390595	-75.5641615	2021-11-13	06:25:00	obsr1150532	S97614872	Traveling	P22	EBIRD_COL	296	11.46	NA	9	1	G7419253	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1283224720	2022-12-12 12:34:13.537945	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	El Nido del Cóndor Ecolodge (4,9368,-75,4823)	L10295724	P	4.936789	-75.48234	2021-11-23	14:23:00	obsr960565	S98016480	Traveling	P22	EBIRD	180	1.609	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1280875319	2022-01-11 10:46:22.133687	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Color de Mi Revés(4.988, -75.408)	L16933056	P	4.9883857	-75.4076105	2021-11-13	07:06:00	obsr1005954	S97843967	Traveling	P22	EBIRD	291	2.55	NA	15	1	G7442095	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1277195964	2021-11-15 18:52:18.531603	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				7					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	RN Industria Licorera de Caldas	L8077994	H	5.0418803	-75.4401267	2021-11-14	06:47:00	obsr1017330	S97583739	Traveling	P22	EBIRD	430	1.45	NA	15	1	G7427401	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1283673909	2022-01-12 15:07:47.23865	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Mirador El Roble	L8210763	H	5.4864943	-75.7850085	2021-11-24	10:00:00	obsr825802	S98050634	Traveling	P22	EBIRD	330	3.5	NA	1	1		0	1	0				
