"","X","Cam.Site","scientificName","vernacularName","eventDate","eventTime","organismQuantity","class","order","family","genus","filename"
"828",838,"Rumiyaco2_2173","Cuniculus paca","Guagua","6/08/2019","4:15",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08060193.JPG"
"830",840,"Rumiyaco2_2173","Cuniculus paca","Guagua","8/08/2019","2:07",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08080208.JPG"
"831",841,"Rumiyaco2_2173","Cuniculus paca","Guagua","9/08/2019","3:26",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08090214.JPG"
"832",842,"Rumiyaco2_2173","Cuniculus paca","Guagua","12/08/2019","2:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08120229.JPG"
"835",845,"Rumiyaco2_2173","Cuniculus paca","Guagua","12/08/2019","23:48",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08120255.JPG"
"836",846,"Rumiyaco2_2173","Cuniculus paca","Guagua","13/08/2019","4:50",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08130256.JPG"
"837",847,"Rumiyaco2_2173","Cuniculus paca","Guagua","14/08/2019","4:33",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08140259.JPG"
"840",850,"Rumiyaco2_2173","Cuniculus paca","Guagua","17/08/2019","20:31",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08170277.JPG"
"842",852,"Rumiyaco2_2173","Cuniculus paca","Guagua","20/08/2019","3:08",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08200289.JPG"
"843",853,"Rumiyaco2_2173","Cuniculus paca","Guagua","20/08/2019","4:57",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08200294.JPG"
"844",854,"Rumiyaco2_2173","Cuniculus paca","Guagua","22/08/2019","19:29",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08220301.JPG"
"845",855,"Rumiyaco2_2173","Cuniculus paca","Guagua","23/08/2019","2:57",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08230304.JPG"
"846",856,"Rumiyaco2_2173","Cuniculus paca","Guagua","23/08/2019","19:57",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08230325.JPG"
"851",861,"Rumiyaco2_2173","Cuniculus paca","Guagua","5/09/2019","3:34",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_09050369.JPG"
"852",862,"Rumiyaco2_2173","Cuniculus paca","Guagua","7/09/2019","4:56",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_09070370.JPG"
"857",867,"Rumiyaco2_2175","Cuniculus paca","Guagua","28/07/2019","15:20",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01030017.JPG"
"858",868,"Rumiyaco2_2175","Cuniculus paca","Guagua","28/07/2019","10:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01060019.JPG"
"860",870,"Rumiyaco2_2175","Cuniculus paca","Guagua","5/08/2019","10:21",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01130033.JPG"
"861",871,"Rumiyaco2_2175","Cuniculus paca","Guagua","5/08/2019","16:47",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01130037.JPG"
"863",873,"Rumiyaco2_2175","Cuniculus paca","Guagua","7/08/2019","8:12",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01150043.JPG"
"865",875,"Rumiyaco2_2175","Cuniculus paca","Guagua","13/08/2019","17:54",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01210049.JPG"
"866",876,"Rumiyaco2_2175","Cuniculus paca","Guagua","16/08/2019","10:35",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01240055.JPG"
"867",877,"Rumiyaco2_2175","Cuniculus paca","Guagua","18/08/2019","7:58",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01260064.JPG"
"868",878,"Rumiyaco2_2175","Cuniculus paca","Guagua","19/08/2019","11:22",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01270069.JPG"
"869",879,"Rumiyaco2_2175","Cuniculus paca","Guagua","21/08/2019","13:54",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01290070.JPG"
"870",880,"Rumiyaco2_2175","Cuniculus paca","Guagua","22/08/2019","8:35",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_01300081.JPG"
"871",881,"Rumiyaco2_2175","Cuniculus paca","Guagua","23/08/2019","8:02",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_02010082.JPG"
"872",882,"Rumiyaco2_2175","Cuniculus paca","Guagua","27/08/2019","11:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_02050097.JPG"
"873",883,"Rumiyaco2_2175","Cuniculus paca","Guagua","30/08/2019","10:50",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2175_02080102.JPG"
