"scientific_name"	"id"	"time"	"decimalLongitude"	"decimalLatitude"	"lon"	"lat"	"bio1"	"bio2"	"bio4"
"Panthera onca"	265	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	264	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	263	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	262	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	261	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	260	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	259	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	258	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	257	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	414	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2980	63	620
"Panthera onca"	119	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2982	58	654
"Panthera onca"	141	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2971	73	877
"Panthera onca"	60	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2976	67	882
"Panthera onca"	45	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2976	94	3263
"Panthera onca"	85	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2994	66	1941
"Panthera onca"	83	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2991	87	1778
"Panthera onca"	76	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	90	1658
"Panthera onca"	23	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2985	90	2201
"Panthera onca"	79	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	90	1634
"Panthera onca"	78	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2995	88	1581
