site;y.1;y.2;y.3;y.4;y.5;y.6;y.7;y.8;y.9;y.10;huella;altitud;duration_minutes.1;duration_minutes.2;duration_minutes.3;duration_minutes.4;duration_minutes.5;duration_minutes.6;duration_minutes.7;duration_minutes.8;duration_minutes.9;duration_minutes.10
10900_4;1;1;1;0;1;NA;NA;NA;NA;NA;80;1885;106;180;30;4;103;NA;NA;NA;NA;NA
10900_5;1;1;1;1;NA;NA;NA;NA;NA;NA;80;1885;57;207;159;232;NA;NA;NA;NA;NA;NA
10900_6;1;1;NA;NA;NA;NA;NA;NA;NA;NA;80;1885;58;161;NA;NA;NA;NA;NA;NA;NA;NA
10900_7;1;1;1;0;NA;NA;NA;NA;NA;NA;80;1885;197;83;107;200;NA;NA;NA;NA;NA;NA
10900_8;1;0;1;NA;NA;NA;NA;NA;NA;NA;80;1885;85;206;45;NA;NA;NA;NA;NA;NA;NA
10900_9;0;0;0;1;0;1;0;NA;NA;NA;80;1885;99;209;114;68;114;82;123;NA;NA;NA
10901_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2034;173;NA;NA;NA;NA;NA;NA;NA;NA;NA
10901_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2034;44;NA;NA;NA;NA;NA;NA;NA;NA;NA
10901_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2034;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10902_0;0;0;0;0;NA;NA;NA;NA;NA;NA;94;2130;2;49;67;26;NA;NA;NA;NA;NA;NA
10902_9;0;1;0;NA;NA;NA;NA;NA;NA;NA;94;2130;2;6;90;NA;NA;NA;NA;NA;NA;NA
10903_11;1;0;1;0;0;0;0;0;NA;NA;88;2071;27;47;20;13;9;10;19;10;NA;NA
10903_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2071;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10903_6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2071;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10903_8;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2071;85;NA;NA;NA;NA;NA;NA;NA;NA;NA
10905_0;1;1;1;1;1;NA;NA;NA;NA;NA;94;2125;110;127;4;35;15;NA;NA;NA;NA;NA
10905_1;1;0;1;1;1;1;0;1;1;1;94;2125;25;12;19;12;27;9;5;56;4;3
10905_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2125;12;NA;NA;NA;NA;NA;NA;NA;NA;NA
10905_11;1;1;NA;NA;NA;NA;NA;NA;NA;NA;94;2125;15;2;NA;NA;NA;NA;NA;NA;NA;NA
10905_12;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2125;18;NA;NA;NA;NA;NA;NA;NA;NA;NA
10905_2;1;1;1;0;1;1;1;1;1;1;94;2125;45;3;6;5;244;63;15;120;91;4
10905_3;1;1;1;1;1;1;0;1;1;1;94;2125;18;120;10;5;10;25;17;4;114;5
10905_4;1;1;1;1;1;1;1;1;1;1;94;2125;5;229;3;135;143;70;84;3;19;14
10905_5;1;1;1;1;0;0;NA;NA;NA;NA;94;2125;28;6;21;50;1;14;NA;NA;NA;NA
10905_6;0;0;1;1;1;1;NA;NA;NA;NA;94;2125;65;12;6;7;5;10;NA;NA;NA;NA
10905_7;1;0;0;1;1;NA;NA;NA;NA;NA;94;2125;6;5;170;29;99;NA;NA;NA;NA;NA
10905_8;1;1;1;0;1;1;NA;NA;NA;NA;94;2125;35;25;46;31;15;15;NA;NA;NA;NA
10905_9;1;1;1;1;1;1;1;1;1;1;94;2125;4;16;17;29;19;4;8;14;39;21
10906_10;1;1;NA;NA;NA;NA;NA;NA;NA;NA;62;2228;33;120;NA;NA;NA;NA;NA;NA;NA;NA
10906_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2228;72;NA;NA;NA;NA;NA;NA;NA;NA;NA
10906_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2228;45;NA;NA;NA;NA;NA;NA;NA;NA;NA
10906_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2228;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10907_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;2213;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10907_8;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;2213;25;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;156;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;240;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_3;1;0;1;NA;NA;NA;NA;NA;NA;NA;54;2223;105;120;222;NA;NA;NA;NA;NA;NA;NA
10908_4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;72;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;40;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_7;0;0;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;2;17;NA;NA;NA;NA;NA;NA;NA;NA
10908_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;99;NA;NA;NA;NA;NA;NA;NA;NA;NA
10908_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2223;266;NA;NA;NA;NA;NA;NA;NA;NA;NA
10909_0;1;0;1;1;0;NA;NA;NA;NA;NA;28;2267;300;48;150;210;79;NA;NA;NA;NA;NA
10909_1;0;0;1;0;1;0;0;0;0;NA;28;2267;30;21;141;12;31;30;25;6;24;NA
10909_10;0;0;0;0;0;0;1;NA;NA;NA;28;2267;23;2;13;170;49;30;26;NA;NA;NA
10909_11;0;1;0;0;0;0;0;0;0;0;28;2267;13;248;9;95;12;44;35;9;16;66
10909_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;2267;21;NA;NA;NA;NA;NA;NA;NA;NA;NA
10909_2;0;1;1;NA;NA;NA;NA;NA;NA;NA;28;2267;92;212;26;NA;NA;NA;NA;NA;NA;NA
10909_3;1;1;0;NA;NA;NA;NA;NA;NA;NA;28;2267;31;300;30;NA;NA;NA;NA;NA;NA;NA
10909_4;1;0;0;0;0;NA;NA;NA;NA;NA;28;2267;160;19;53;75;121;NA;NA;NA;NA;NA
10909_5;1;0;0;NA;NA;NA;NA;NA;NA;NA;28;2267;51;22;261;NA;NA;NA;NA;NA;NA;NA
10909_6;0;0;0;NA;NA;NA;NA;NA;NA;NA;28;2267;30;65;10;NA;NA;NA;NA;NA;NA;NA
10909_7;0;0;0;0;1;0;1;1;NA;NA;28;2267;4;16;14;54;17;59;9;46;NA;NA
10909_8;1;0;1;0;NA;NA;NA;NA;NA;NA;28;2267;29;34;134;15;NA;NA;NA;NA;NA;NA
10909_9;1;0;0;0;NA;NA;NA;NA;NA;NA;28;2267;17;175;2;10;NA;NA;NA;NA;NA;NA
10910_0;1;1;0;1;1;1;0;0;NA;NA;20;2372;192;48;184;300;180;90;70;35;NA;NA
10910_1;1;1;0;1;0;0;1;1;0;0;20;2372;111;45;20;57;28;180;200;180;113;99
10910_10;0;1;0;1;0;1;1;0;1;NA;20;2372;20;240;100;30;21;4;64;25;59;NA
10910_11;0;0;1;0;0;0;1;1;1;1;20;2372;8;12;244;90;11;96;227;176;98;60
10910_12;1;0;NA;NA;NA;NA;NA;NA;NA;NA;20;2372;132;134;NA;NA;NA;NA;NA;NA;NA;NA
10910_2;1;0;0;1;1;1;0;NA;NA;NA;20;2372;96;240;45;240;61;180;115;NA;NA;NA
10910_3;0;1;0;1;0;1;0;1;0;0;20;2372;45;36;17;99;20;20;70;120;39;210
10910_4;0;1;1;1;1;0;1;1;NA;NA;20;2372;70;43;48;114;55;20;70;240;NA;NA
10910_5;1;1;1;1;0;0;0;1;0;1;20;2372;41;30;93;84;58;15;42;74;118;19
10910_6;0;1;1;1;1;1;1;0;0;1;20;2372;240;80;90;30;40;40;270;97;147;240
10910_7;1;1;0;1;1;0;1;1;0;1;20;2372;69;48;254;300;300;264;30;245;139;78
10910_8;0;0;1;1;1;1;1;1;1;NA;20;2372;4;118;300;8;45;54;65;33;75;NA
10910_9;0;1;1;1;1;0;0;1;1;NA;20;2372;76;100;200;20;24;25;30;200;200;NA
10911_0;0;0;1;0;0;0;1;0;1;1;20;2535;76;10;19;23;11;5;91;49;77;126
10911_1;1;1;1;0;0;1;1;1;1;0;20;2535;254;216;112;51;120;75;180;43;166;5
10911_10;1;0;1;0;1;0;1;0;0;1;20;2535;106;275;300;118;150;183;300;80;206;300
10911_11;1;1;1;0;0;0;0;1;1;0;20;2535;191;250;98;99;71;26;13;249;250;49
10911_12;0;0;0;NA;NA;NA;NA;NA;NA;NA;20;2535;25;98;154;NA;NA;NA;NA;NA;NA;NA
10911_2;1;1;0;NA;NA;NA;NA;NA;NA;NA;20;2535;86;129;292;NA;NA;NA;NA;NA;NA;NA
10911_3;1;0;1;0;0;1;0;1;1;0;20;2535;94;108;90;208;120;150;218;10;175;278
10911_4;1;1;1;0;1;1;1;0;NA;NA;20;2535;200;160;145;10;300;253;103;300;NA;NA
10911_5;0;0;0;1;0;1;1;1;1;NA;20;2535;95;36;33;140;45;98;123;119;105;NA
10911_6;1;0;1;1;0;1;1;1;0;0;20;2535;41;45;274;155;113;191;131;58;20;93
10911_7;0;1;0;1;0;1;1;1;1;1;20;2535;30;120;125;145;23;300;65;267;39;35
10911_8;1;1;1;1;1;0;1;1;1;1;20;2535;63;15;119;122;79;155;15;106;133;60
10911_9;1;1;0;1;1;1;1;0;0;0;20;2535;90;120;35;250;200;30;1;300;20;30
10917_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;3620;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
11002_7;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;1015;59;28;NA;NA;NA;NA;NA;NA;NA;NA
11002_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1015;240;NA;NA;NA;NA;NA;NA;NA;NA;NA
11003_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;975;89;NA;NA;NA;NA;NA;NA;NA;NA;NA
11004_0;0;0;0;NA;NA;NA;NA;NA;NA;NA;77;966;135;68;118;NA;NA;NA;NA;NA;NA;NA
11004_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;966;41;NA;NA;NA;NA;NA;NA;NA;NA;NA
11004_4;0;0;NA;NA;NA;NA;NA;NA;NA;NA;77;966;90;91;NA;NA;NA;NA;NA;NA;NA;NA
11023_0;0;0;0;NA;NA;NA;NA;NA;NA;NA;62;1279;60;56;1;NA;NA;NA;NA;NA;NA;NA
11023_11;0;0;0;0;0;0;0;0;NA;NA;62;1279;11;41;41;28;44;60;10;11;NA;NA
11023_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1279;41;NA;NA;NA;NA;NA;NA;NA;NA;NA
11026_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1034;25;NA;NA;NA;NA;NA;NA;NA;NA;NA
11033_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1157;293;NA;NA;NA;NA;NA;NA;NA;NA;NA
11034_0;0;0;0;0;0;0;0;0;0;0;60;1207;180;45;8;20;73;33;20;15;20;216
11034_1;0;0;0;0;0;0;0;0;0;0;60;1207;180;60;235;240;124;126;280;74;162;296
11034_10;0;0;0;0;0;0;0;0;0;0;60;1207;120;95;60;249;20;44;38;73;152;7
11034_11;0;0;0;0;0;0;0;1;0;0;60;1207;60;6;193;86;278;158;152;39;53;109
11034_12;0;0;0;0;0;0;0;0;0;0;60;1207;54;102;6;108;111;20;209;94;102;165
11034_2;0;0;0;0;0;0;0;0;0;0;60;1207;180;128;30;135;173;90;25;103;33;127
11034_3;0;0;0;0;0;0;0;0;0;0;60;1207;10;30;140;125;30;176;240;68;200;36
11034_4;0;0;1;0;0;0;0;0;0;0;60;1207;150;180;200;180;216;15;20;100;216;43
11034_5;0;0;0;0;0;0;0;0;0;0;60;1207;300;284;70;160;144;23;42;200;66;131
11034_6;0;0;0;0;0;0;0;0;0;0;60;1207;84;89;76;138;15;20;149;95;102;104
11034_7;0;0;0;0;1;1;0;0;0;0;60;1207;295;237;64;250;109;120;72;120;190;155
11034_8;0;0;0;0;0;0;0;0;0;0;60;1207;15;197;102;126;104;64;130;173;49;120
11034_9;0;0;0;0;0;1;0;1;0;0;60;1207;31;84;126;182;200;135;177;63;60;180
11036_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1357;87;NA;NA;NA;NA;NA;NA;NA;NA;NA
11037_1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1446;180;NA;NA;NA;NA;NA;NA;NA;NA;NA
11039_10;0;0;0;0;0;NA;NA;NA;NA;NA;65;1574;15;10;5;12;20;NA;NA;NA;NA;NA
11039_11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1574;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
11039_2;0;0;NA;NA;NA;NA;NA;NA;NA;NA;65;1574;25;45;NA;NA;NA;NA;NA;NA;NA;NA
11040_0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;65;1688;45;51;NA;NA;NA;NA;NA;NA;NA;NA
11040_1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1688;141;NA;NA;NA;NA;NA;NA;NA;NA;NA
11040_10;1;1;NA;NA;NA;NA;NA;NA;NA;NA;65;1688;300;300;NA;NA;NA;NA;NA;NA;NA;NA
11040_2;0;1;1;0;0;1;0;NA;NA;NA;65;1688;300;240;180;15;13;162;37;NA;NA;NA
11040_3;0;1;1;NA;NA;NA;NA;NA;NA;NA;65;1688;55;120;136;NA;NA;NA;NA;NA;NA;NA
11040_5;0;1;1;NA;NA;NA;NA;NA;NA;NA;65;1688;10;203;212;NA;NA;NA;NA;NA;NA;NA
11040_7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1688;192;NA;NA;NA;NA;NA;NA;NA;NA;NA
11040_8;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1688;24;NA;NA;NA;NA;NA;NA;NA;NA;NA
11041_0;0;1;1;1;1;1;0;0;1;1;65;1807;48;90;12;115;29;45;117;53;60;100
11041_1;1;0;1;1;NA;NA;NA;NA;NA;NA;65;1807;60;264;240;90;NA;NA;NA;NA;NA;NA
11041_10;0;0;0;1;1;1;1;1;1;1;65;1807;180;90;38;120;108;150;120;120;227;122
11041_11;1;0;0;0;1;0;1;1;0;0;65;1807;300;2;14;17;56;35;180;180;180;74
11041_12;0;1;1;NA;NA;NA;NA;NA;NA;NA;65;1807;8;240;238;NA;NA;NA;NA;NA;NA;NA
11041_2;1;1;1;1;0;1;0;0;1;1;65;1807;120;30;15;10;180;60;120;112;262;128
11041_3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;65;1807;11;108;NA;NA;NA;NA;NA;NA;NA;NA
11041_4;0;1;NA;NA;NA;NA;NA;NA;NA;NA;65;1807;6;240;NA;NA;NA;NA;NA;NA;NA;NA
11041_5;1;1;1;1;0;0;NA;NA;NA;NA;65;1807;58;255;149;45;122;67;NA;NA;NA;NA
11041_6;0;0;0;1;0;1;1;0;1;1;65;1807;60;5;90;15;40;300;153;13;26;148
11041_7;0;1;1;NA;NA;NA;NA;NA;NA;NA;65;1807;98;75;222;NA;NA;NA;NA;NA;NA;NA
11041_8;1;0;1;1;1;1;1;NA;NA;NA;65;1807;179;94;180;120;12;107;180;NA;NA;NA
11041_9;1;0;0;1;0;1;1;0;1;0;65;1807;180;24;39;181;62;80;268;57;90;41
11044_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2066.5;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
11044_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2066.5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA
11045_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2112;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
11045_4;0;1;1;NA;NA;NA;NA;NA;NA;NA;94;2112;15;15;60;NA;NA;NA;NA;NA;NA;NA
11045_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2112;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
11046_1;1;0;1;1;1;1;NA;NA;NA;NA;80;2105;2;2;20;25;22;3;NA;NA;NA;NA
11046_10;1;1;NA;NA;NA;NA;NA;NA;NA;NA;80;2105;120;152;NA;NA;NA;NA;NA;NA;NA;NA
11046_2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;80;2105;2;1;NA;NA;NA;NA;NA;NA;NA;NA
11046_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;2105;6;NA;NA;NA;NA;NA;NA;NA;NA;NA
11046_4;0;1;NA;NA;NA;NA;NA;NA;NA;NA;80;2105;8;41;NA;NA;NA;NA;NA;NA;NA;NA
11046_6;1;1;1;NA;NA;NA;NA;NA;NA;NA;80;2105;104;10;5;NA;NA;NA;NA;NA;NA;NA
11046_8;1;1;NA;NA;NA;NA;NA;NA;NA;NA;80;2105;16;2;NA;NA;NA;NA;NA;NA;NA;NA
11046_9;0;1;0;NA;NA;NA;NA;NA;NA;NA;80;2105;45;15;4;NA;NA;NA;NA;NA;NA;NA
11047_0;1;1;1;1;1;1;1;0;1;0;94;2122;240;60;215;125;60;85;150;90;90;56
11047_1;0;0;1;0;0;1;NA;NA;NA;NA;94;2122;30;60;5;5;5;128;NA;NA;NA;NA
11047_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2122;75;NA;NA;NA;NA;NA;NA;NA;NA;NA
11047_11;1;1;1;0;0;0;1;NA;NA;NA;94;2122;44;49;67;78;11;50;184;NA;NA;NA
11047_2;0;0;1;NA;NA;NA;NA;NA;NA;NA;94;2122;30;20;82;NA;NA;NA;NA;NA;NA;NA
11047_3;0;0;NA;NA;NA;NA;NA;NA;NA;NA;94;2122;30;60;NA;NA;NA;NA;NA;NA;NA;NA
11047_4;1;0;NA;NA;NA;NA;NA;NA;NA;NA;94;2122;12;50;NA;NA;NA;NA;NA;NA;NA;NA
11047_5;0;0;0;1;NA;NA;NA;NA;NA;NA;94;2122;240;120;20;65;NA;NA;NA;NA;NA;NA
11047_6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2122;90;NA;NA;NA;NA;NA;NA;NA;NA;NA
11047_7;1;1;1;NA;NA;NA;NA;NA;NA;NA;94;2122;115;190;45;NA;NA;NA;NA;NA;NA;NA
11047_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2122;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
11048_10;0;0;NA;NA;NA;NA;NA;NA;NA;NA;88;2155;121;35;NA;NA;NA;NA;NA;NA;NA;NA
11048_11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;88;2155;30;72;NA;NA;NA;NA;NA;NA;NA;NA
11048_4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2155;51;NA;NA;NA;NA;NA;NA;NA;NA;NA
11048_5;1;0;NA;NA;NA;NA;NA;NA;NA;NA;88;2155;89;82;NA;NA;NA;NA;NA;NA;NA;NA
11048_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;2155;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
11051_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;2337;27;NA;NA;NA;NA;NA;NA;NA;NA;NA
11057_2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;3548.5;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
11058_9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;3691;61;NA;NA;NA;NA;NA;NA;NA;NA;NA
11060_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;3688;94;NA;NA;NA;NA;NA;NA;NA;NA;NA
11141_0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;62;1290;122;122;NA;NA;NA;NA;NA;NA;NA;NA
11146_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;943;180;NA;NA;NA;NA;NA;NA;NA;NA;NA
11158_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;1004;50;NA;NA;NA;NA;NA;NA;NA;NA;NA
11159_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;919;54;NA;NA;NA;NA;NA;NA;NA;NA;NA
11160_1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;60;937;63;16;NA;NA;NA;NA;NA;NA;NA;NA
11160_10;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;937;40;78;163;NA;NA;NA;NA;NA;NA;NA
11160_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;937;74;NA;NA;NA;NA;NA;NA;NA;NA;NA
11160_3;0;0;0;0;NA;NA;NA;NA;NA;NA;60;937;35;30;12;240;NA;NA;NA;NA;NA;NA
11160_4;0;0;0;0;0;NA;NA;NA;NA;NA;60;937;184;68;34;25;115;NA;NA;NA;NA;NA
11160_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;937;52;NA;NA;NA;NA;NA;NA;NA;NA;NA
11160_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;937;240;NA;NA;NA;NA;NA;NA;NA;NA;NA
11173_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1229;102;NA;NA;NA;NA;NA;NA;NA;NA;NA
11175_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;1216;45;NA;NA;NA;NA;NA;NA;NA;NA;NA
11176_0;0;0;0;0;0;0;0;0;0;NA;62;1257;26;32;30;65;104;8;30;83;118;NA
11176_1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;56;30;NA;NA;NA;NA;NA;NA;NA;NA
11176_11;0;0;0;NA;NA;NA;NA;NA;NA;NA;62;1257;134;90;63;NA;NA;NA;NA;NA;NA;NA
11176_12;0;0;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;38;56;NA;NA;NA;NA;NA;NA;NA;NA
11176_3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;108;NA;NA;NA;NA;NA;NA;NA;NA;NA
11176_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;86;NA;NA;NA;NA;NA;NA;NA;NA;NA
11176_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;40;NA;NA;NA;NA;NA;NA;NA;NA;NA
11176_6;0;0;0;0;NA;NA;NA;NA;NA;NA;62;1257;75;86;5;17;NA;NA;NA;NA;NA;NA
11176_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1257;16;NA;NA;NA;NA;NA;NA;NA;NA;NA
11176_8;0;1;0;NA;NA;NA;NA;NA;NA;NA;62;1257;70;128;5;NA;NA;NA;NA;NA;NA;NA
11176_9;0;0;0;0;0;0;NA;NA;NA;NA;62;1257;14;32;92;5;26;51;NA;NA;NA;NA
11177_11;0;1;NA;NA;NA;NA;NA;NA;NA;NA;62;1427;23;42;NA;NA;NA;NA;NA;NA;NA;NA
11177_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1427;180;NA;NA;NA;NA;NA;NA;NA;NA;NA
11177_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1427;143;NA;NA;NA;NA;NA;NA;NA;NA;NA
11177_5;0;0;1;1;0;0;0;0;0;0;62;1427;60;60;60;60;60;60;70;60;120;120
11177_6;0;0;0;NA;NA;NA;NA;NA;NA;NA;62;1427;48;109;96;NA;NA;NA;NA;NA;NA;NA
11178_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1457;41;NA;NA;NA;NA;NA;NA;NA;NA;NA
11178_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1457;35;NA;NA;NA;NA;NA;NA;NA;NA;NA
11179_1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1466;166;NA;NA;NA;NA;NA;NA;NA;NA;NA
11179_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1466;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
11179_11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1466;45;NA;NA;NA;NA;NA;NA;NA;NA;NA
11179_3;1;0;NA;NA;NA;NA;NA;NA;NA;NA;62;1466;150;21;NA;NA;NA;NA;NA;NA;NA;NA
11179_6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;62;1466;48;25;NA;NA;NA;NA;NA;NA;NA;NA
11182_5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;1862;257;NA;NA;NA;NA;NA;NA;NA;NA;NA
11182_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;1862;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
11183_4;0;1;NA;NA;NA;NA;NA;NA;NA;NA;80;2005;180;3;NA;NA;NA;NA;NA;NA;NA;NA
11185_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;1933.5;66;NA;NA;NA;NA;NA;NA;NA;NA;NA
11186_0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;91;2068;40;NA;NA;NA;NA;NA;NA;NA;NA;NA
11186_1;0;0;0;1;1;0;NA;NA;NA;NA;91;2068;5;10;33;6;5;1;NA;NA;NA;NA
11186_10;0;1;0;1;1;1;0;1;0;1;91;2068;5;15;20;131;42;93;14;15;10;68
11186_11;1;0;1;1;1;0;0;0;0;NA;91;2068;120;12;60;77;65;46;1;15;10;NA
11186_2;0;0;1;1;0;1;NA;NA;NA;NA;91;2068;1;3;87;6;2;132;NA;NA;NA;NA
11186_3;0;1;1;0;NA;NA;NA;NA;NA;NA;91;2068;30;175;24;69;NA;NA;NA;NA;NA;NA
11186_4;0;0;1;1;0;1;NA;NA;NA;NA;91;2068;2;1;60;50;25;67;NA;NA;NA;NA
11186_5;0;0;0;0;NA;NA;NA;NA;NA;NA;91;2068;30;30;30;38;NA;NA;NA;NA;NA;NA
11186_6;0;0;NA;NA;NA;NA;NA;NA;NA;NA;91;2068;8;2;NA;NA;NA;NA;NA;NA;NA;NA
11186_7;1;0;1;1;1;NA;NA;NA;NA;NA;91;2068;61;40;32;137;123;NA;NA;NA;NA;NA
11186_8;0;0;0;1;1;NA;NA;NA;NA;NA;91;2068;3;15;15;58;242;NA;NA;NA;NA;NA
11186_9;0;1;1;1;0;1;0;1;1;1;91;2068;25;88;30;85;188;103;15;50;184;81
11187_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2135;17;NA;NA;NA;NA;NA;NA;NA;NA;NA
11187_1;1;1;0;NA;NA;NA;NA;NA;NA;NA;94;2135;19;15;20;NA;NA;NA;NA;NA;NA;NA
11187_10;1;1;1;NA;NA;NA;NA;NA;NA;NA;94;2135;151;20;25;NA;NA;NA;NA;NA;NA;NA
11187_11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2135;50;NA;NA;NA;NA;NA;NA;NA;NA;NA
11187_2;1;0;1;1;NA;NA;NA;NA;NA;NA;94;2135;5;89;25;24;NA;NA;NA;NA;NA;NA
11187_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2135;11;NA;NA;NA;NA;NA;NA;NA;NA;NA
