"","site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","huella","altitud","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"1833","6900_11",0,0,0,0,0,0,0,0,0,0,65,194.5,7,153,28,62,81,66,65,25,279,264
"1834","6900_12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,194.5,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1835","6900_2",0,0,0,0,0,0,0,0,NA,NA,65,194.5,82,120,224,266,33,17,180,210,NA,NA
"1836","6900_3",0,0,0,0,0,NA,NA,NA,NA,NA,65,194.5,90,24,253,30,220,NA,NA,NA,NA,NA
"1837","6900_4",0,0,0,0,0,0,0,0,NA,NA,65,194.5,141,166,208,111,50,198,90,84,NA,NA
"1838","6900_5",0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,194.5,180,186,NA,NA,NA,NA,NA,NA,NA,NA
"1839","6900_6",0,0,0,0,NA,NA,NA,NA,NA,NA,65,194.5,270,120,117,259,NA,NA,NA,NA,NA,NA
"1840","6900_7",0,0,0,0,0,0,0,NA,NA,NA,65,194.5,120,209,104,268,253,109,141,NA,NA,NA
"1841","6900_8",0,0,0,0,0,0,NA,NA,NA,NA,65,194.5,145,21,93,81,120,141,NA,NA,NA,NA
"1842","6900_9",0,0,0,0,0,0,0,0,NA,NA,65,194.5,249,279,69,43,208,50,222,240,NA,NA
"1843","6955_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2032.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844","6956_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,2017,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1845","697_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,188,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1846","6997_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1806,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847","7006_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1263,87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848","7013_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1146,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849","7013_11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1146,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850","7013_6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,54,1146,25,60,NA,NA,NA,NA,NA,NA,NA,NA
"1851","7017_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1067,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852","7017_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1067,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853","7018_0",0,0,0,0,NA,NA,NA,NA,NA,NA,60,952,137,251,60,20,NA,NA,NA,NA,NA,NA
"1854","7018_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,952,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855","7018_11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,952,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856","7018_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,952,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1857","7018_4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,952,5,25,NA,NA,NA,NA,NA,NA,NA,NA
"1858","7018_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,952,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1859","7018_9",0,0,0,0,0,0,0,NA,NA,NA,60,952,60,60,50,30,45,120,35,NA,NA,NA
"1860","7019_0",0,0,0,0,NA,NA,NA,NA,NA,NA,57,938,10,164,109,10,NA,NA,NA,NA,NA,NA
"1861","7019_1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,57,938,153,59,NA,NA,NA,NA,NA,NA,NA,NA
"1862","7019_10",0,0,NA,NA,NA,NA,NA,NA,NA,NA,57,938,30,45,NA,NA,NA,NA,NA,NA,NA,NA
"1863","7019_11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,57,938,46,9,NA,NA,NA,NA,NA,NA,NA,NA
"1864","7019_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,938,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865","7019_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,938,123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866","7019_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,938,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867","7019_7",0,0,0,0,0,0,0,NA,NA,NA,57,938,12,50,4,25,20,25,25,NA,NA,NA
"1868","7019_8",0,0,NA,NA,NA,NA,NA,NA,NA,NA,57,938,200,13,NA,NA,NA,NA,NA,NA,NA,NA
"1869","7020_0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,840,51,12,NA,NA,NA,NA,NA,NA,NA,NA
"1870","7020_3",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,840,40,40,NA,NA,NA,NA,NA,NA,NA,NA
"1871","7020_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,840,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1872","7020_7",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,840,104,1,NA,NA,NA,NA,NA,NA,NA,NA
"1873","7020_8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,840,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1874","7021_0",0,0,0,0,0,0,0,0,0,NA,62,747,34,19,15,16,16,16,20,15,16,NA
"1875","7021_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,747,234,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1876","7021_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,747,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1877","7022_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,641,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878","7027_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,325,78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879","7027_10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,325,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880","7027_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,325,163,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881","7027_4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,325,295,95,NA,NA,NA,NA,NA,NA,NA,NA
"1882","7027_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,325,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","7028_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,318,209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884","7028_11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,318,127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1885","7028_4",0,0,0,NA,NA,NA,NA,NA,NA,NA,54,318,62,106,75,NA,NA,NA,NA,NA,NA,NA
"1886","7028_8",0,0,NA,NA,NA,NA,NA,NA,NA,NA,54,318,1,78,NA,NA,NA,NA,NA,NA,NA,NA
"1887","7030_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,281,179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888","7113_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,3126,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889","7142_3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1782,202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890","7142_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1782,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
