"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"316_83",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,160,10,100,79,105,10,NA,NA,NA
"316_85",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA
"316_89",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316_90",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,11,10,10,10,10,95,NA,NA,NA,NA
"316_93",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,31,72,NA,NA,NA,NA,NA,NA,NA
"316_94",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,10,10,10,10,22,46,10,NA,NA,NA
"316_100",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,70,44,28,27,27,NA,NA,NA,NA,NA
"316_105",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,57,28,NA,NA,NA,NA,NA,NA,NA
"316_109",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,43,NA,NA,NA,NA,NA,NA,NA
"316_131",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,90,201,NA,NA,NA,NA,NA,NA
"316_134",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18,115,54,11,15,NA,NA,NA,NA,NA
"316_135",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,268,35,60,NA,NA,NA,NA,NA,NA
"316_144",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,24,6,NA,NA,NA,NA,NA,NA,NA
"316_148",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316_156",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA
"316_158",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319_139",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320_97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321_100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327_160",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,NA,NA,NA,NA,NA,NA,NA,NA
"327_164",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,68,71,NA,NA,NA,NA,NA,NA,NA
"363_153",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364_102",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,185,NA,NA,NA,NA,NA,NA,NA,NA
